ID,ÀÌ¸§,¿ª µµÂø½Ã°£,Æ¼ÄÉÆÃ½Ã°£,Ãâ¹ß¿ª,µµÂø¿ª,ÃÖ¼Ò°æ·Î½Ã°£,Æ¼ÄÏ´ë±â½Ã°£,¿­Â÷´ë±â½Ã°£,¿­Â÷Ãâ¹ß½Ã°£,¿­Â÷µµÂø½Ã°£
2,°í°´2002,0,1,Chuncheon,Wonju,28,0,3,3,31
5,°í°´2005,0,1,Chuncheon,Deajeon,45,0,3,3,48
7,°í°´2007,1,1,Seoul,Kyungju,44,0,2,3,47
1,°í°´2001,0,2,Seoul,Chuncheon,16,0,2,3,19
8,°í°´2008,1,2,Gwangju,Chuncheon,49,0,1,3,52
9,°í°´2009,3,1,Deajeon,Seoul,29,0,0,3,32
3,°í°´2003,0,3,Wonju,Gwangju,35,0,2,6,41
10,°í°´2010,3,3,Gwangju,Asan,25,0,1,6,31
12,°í°´2012,5,2,Asan,Wonju,42,0,0,6,48
15,°í°´2015,7,1,Seoul,Wonju,22,0,2,9,31
14,°í°´2014,7,1,Asan,Deajeon,35,0,2,9,44
16,°í°´2016,7,2,Deajeon,Kyungju,15,0,1,9,24
4,°í°´2004,0,5,Kyungju,Wonju,32,0,0,9,41
18,°í°´2018,10,1,Asan,Gwangju,25,0,2,12,37
13,°í°´2013,7,3,Chuncheon,Deajeon,45,0,2,12,57
19,°í°´2019,10,1,Deajeon,Seoul,29,0,2,12,41
11,°í°´2011,5,6,Chuncheon,Gwangju,49,1,2,15,64
21,°í°´2021,13,1,Deajeon,Seoul,29,0,2,15,44
23,°í°´2023,15,1,Kyungju,Asan,43,0,0,15,58
20,°í°´2020,10,5,Asan,Kyungju,43,0,0,15,58
24,°í°´2024,15,2,Wonju,Deajeon,23,0,2,18,41
22,°í°´2022,15,3,Seoul,Wonju,22,0,0,18,40
27,°í°´2027,19,1,Wonju,Gwangju,35,0,2,21,56
28,°í°´2028,19,1,Deajeon,Chuncheon,45,0,2,21,66
17,°í°´2017,7,8,Seoul,Kyungju,44,2,1,21,65
30,°í°´2030,20,2,Deajeon,Kyungju,15,0,0,21,36
25,°í°´2025,19,3,Chuncheon,Kyungju,31,0,2,24,55
26,°í°´2026,19,3,Kyungju,Asan,43,0,1,24,67
31,°í°´2031,22,3,Asan,Kyungju,43,0,0,24,67
32,°í°´2032,22,2,Chuncheon,Seoul,16,0,0,24,40
33,°í°´2033,25,1,Asan,Deajeon,35,0,2,27,62
34,°í°´2034,25,1,Wonju,Kyungju,32,0,2,27,59
35,°í°´2035,25,2,Seoul,Gwangju,41,0,1,27,68
36,°í°´2036,25,2,Chuncheon,Asan,36,0,0,27,63
38,°í°´2038,28,1,Chuncheon,Deajeon,45,0,2,30,75
37,°í°´2037,25,3,Gwangju,Wonju,35,0,2,30,65
40,°í°´2040,30,1,Asan,Seoul,20,0,0,30,50
39,°í°´2039,29,4,Deajeon,Wonju,23,0,1,33,56
6,°í°´2006,1,10,Asan,Deajeon,35,15,1,33,68
29,°í°´2029,19,7,Seoul,Chuncheon,16,6,0,36,52
41,°í°´2041,35,2,Chuncheon,Seoul,16,0,0,36,52
43,°í°´2043,35,2,Deajeon,Gwangju,12,0,0,36,48
44,°í°´2044,35,2,Wonju,Seoul,22,1,1,39,61
46,°í°´2046,37,2,Chuncheon,Gwangju,49,0,1,39,88
45,°í°´2045,35,3,Asan,Wonju,42,1,0,39,81
47,°í°´2047,40,1,Deajeon,Wonju,23,0,2,42,65
49,°í°´2049,42,1,Chuncheon,Kyungju,31,0,0,42,73
48,°í°´2048,41,3,Wonju,Asan,42,0,2,45,87
50,°í°´2050,42,5,Seoul,Gwangju,41,0,2,48,89
42,°í°´2042,35,9,Wonju,Kyungju,32,2,0,48,80
